SNO,Fault URN,Model(s),Severity,What It Means,Recommended Action,POA,CLI checks
171,cablectrl:firmware-update-error,"CPE250, CPE280, CP6000, EXPP",Major,Cable controller firmware update failed.,Retry firmware update. Power cycle. Escalate if persists.,,
172,cablectrl:plc-vehcomms-loss,"CPE250, CPE280, CP6000, EXPP",Major,PLC (Power Line Communication) vehicle comms lost. Station cannot communicate with vehicle over CCS.,Check PLC board. Retry session. Try different vehicle. Replace cable controller if persists.,,
173,cablectrl:plc-error,"CPE250, CPE280, CP6000, EXPP",Major,PLC hardware or firmware error. CCS communication circuit failed.,Power cycle. Update firmware. Replace cable controller if persists.,,
174,cablectrl:invalid-cable-configuration,"CPE250, CPE280, CP6000, EXPP",Critical,Cable configuration detected is invalid — EEPROM data doesn't match expected cable type.,Check cable EEPROM. Verify correct cable installed. Replace cable if configuration is wrong.,,
175,cablectrl:invalid-cable-ampacity-config,"CPE250, CPE280, CP6000, EXPP",Critical,Cable ampacity configuration is invalid — the max current rating stored doesn't match the physical cable.,Verify cable rating. Check EEPROM data. Replace cable or reconfigure.,,
176,cablectrl:board-overtemp-shutdown,"CPE250, CPE280, CP6000, EXPP",Critical,Cable controller board exceeded critical temp — shut down for safety.,Check cooling system. Check ambient temp. Power cycle. Replace cable controller if persists.,,
177,cablectrl:cable-cut,"CPE250, CPE280, CP6000, EXPP",Critical,Cable cut detected by the cable controller. Physical cable damage or disconnection. Lockout fault.,Inspect cable for vandalism/damage. Replace cable. Clear lockout via installer app or console.,,
178,cablectrl:cable-pwr-supply-failure,"CPE250, CPE280, CP6000, EXPP",Critical,Cable controller's internal power supply has failed. Board cannot operate.,Replace cable controller.,,
179,cablectrl:eeprom-failure,"CPE250, CPE280, CP6000, EXPP",Critical,EEPROM on cable controller has failed. Cable identity and configuration data lost.,Replace cable controller or cable.,,
180,cablectrl:safety-cpu-reg-fail,"CPE250, CPE280, CP6000, EXPP",Critical,Safety CPU register check failed. The safety processor's registers are corrupted.,Power cycle. Replace cable controller.,,
181,cablectrl:safety-nonstk-reg-fail,"CPE250, CPE280, CP6000, EXPP",Critical,Safety non-stack register check failed.,Power cycle. Replace cable controller.,,
182,cablectrl:safety-float1-reg-fail,"CPE250, CPE280, CP6000, EXPP",Critical,Safety floating-point register 1 check failed.,Power cycle. Replace cable controller.,,
183,cablectrl:safety-float2-reg-fail,"CPE250, CPE280, CP6000, EXPP",Critical,Safety floating-point register 2 check failed.,Power cycle. Replace cable controller.,,
184,cablectrl:safety-primask-reg-fail,"CPE250, CPE280, CP6000, EXPP",Critical,Safety PRIMASK register check failed — interrupt masking is corrupt.,Power cycle. Replace cable controller.,,
185,cablectrl:safety-special-reg-fail,"CPE250, CPE280, CP6000, EXPP",Critical,Safety special register check failed.,Power cycle. Replace cable controller.,,
186,cablectrl:safety-pc-reg-fail,"CPE250, CPE280, CP6000, EXPP",Critical,Safety program counter register failed — firmware execution integrity compromised.,Power cycle. Replace cable controller.,,
187,cablectrl:safety-stack-fail,"CPE250, CPE280, CP6000, EXPP",Critical,Safety stack check failed — stack corruption detected.,Power cycle. Replace cable controller.,,
188,cablectrl:safety-ram-fail,"CPE250, CPE280, CP6000, EXPP",Critical,Safety RAM check failed — memory corruption.,Power cycle. Replace cable controller.,,
189,cablectrl:safety-nvm-fail,"CPE250, CPE280, CP6000, EXPP",Critical,Safety NVM (non-volatile memory) check failed — stored data corrupted.,Power cycle. Replace cable controller.,,
190,cablectrl:safety-clk-fail,"CPE250, CPE280, CP6000, EXPP",Critical,Safety clock check failed — timing integrity compromised.,Power cycle. Replace cable controller.,,
191,cablectrl:safety-mpu-fault,"CPE250, CPE280, CP6000, EXPP",Critical,Safety MPU (Memory Protection Unit) fault — unauthorized memory access detected.,Power cycle. Replace cable controller.,,
192,cablectrl:safety-bad-strap,"CPE250, CPE280, CP6000, EXPP",Critical,Safety strap configuration is invalid — hardware config pins are wrong.,Check cable controller hardware. Replace cable controller.,,
193,cablectrl:eth-comms-loss,"CPE250, CPE280, CP6000, EXPP",Major,Ethernet communication with cable controller lost. Temporary network disruption.,Check Ethernet cable. Power cycle. Usually self-recovers.,,
194,cablectrl:eth-comms-failure,"CPE250, CPE280, CP6000, EXPP",Critical,Ethernet communication with cable controller has permanently failed.,Check Ethernet cable and switch. Replace cable controller if persists.,,
195,cablectrl:ev-diode-shorted,"CPE250, CPE280, CP6000, EXPP",Critical,EV diode check failed — the vehicle's diode appears shorted. Station detects abnormal pilot voltage.,"Try different vehicle. If fault persists with all vehicles, replace cable controller.",,
196,cardreader:not-operational,"CPE250, CPE280, CP6000, EXPP, CP800",Major,Card reader is not operational. Reader not responding to commands or failed to initialize. RFID/NFC/credit card taps will not work.,Power cycle. Update firmware. Check card reader cable seating. Restart card reader service. Replace CPNK/card reader if persists. CP6000 is not responding to RFID card taps,,
197,cardreader:firmware-upgrade-failed,"CPE250, CPE280, CP6000, EXPP, CP800",Major,Card reader firmware upgrade failed. Reader may still function on old firmware.,Retry firmware update. Power cycle. Escalate to engineering if persists.,,
198,cardreader:applevas-key-not-present,"CPE250, CPE280, CP6000, EXPP",Minor,Apple VAS (Value Added Services) key is not present on the card reader. Apple Wallet tap-to-charge won't work.,Reconfigure card reader via NOS. Update firmware. Escalate if persists.,,
199,cardreader:encryption-configuration-failed,"CPE250, CPE280, CP6000, EXPP",Major,DUKPT encryption configuration failed on card reader. Payment processing may not work. Often seen after OCPP migration.,"Restart card reader service. Power cycle. Check PaymentGateway connectivity. Escalate if persists — may need manual DUKPT reconfiguration. PQE-16392: SN: 231014010304 - HALTON HONDA / FAST CHARGER (Case# 15684844) - Burlington, Ontario - (RFID card reader issue) - CPE250C-500-CCS1-CHDPending HW Update",,
200,cardreader:applevas-not-supported,"CPE250, CPE280, CP6000, EXPP, CP800 (Kestrel)",Minor,Apple VAS not supported on this card reader firmware or hardware. NXP library fell back to ChargePoint library. Apple Wallet won't work.,"Update card reader firmware. Check for SPI/interrupt issues. Station still charges via RFID/credit card. STNSVC-7605: Kestrel-Fleet-NPI: Fault code ""urn:fault:cardreader:applevas-not-supported"" in the ""Diagnostics"" tab does not show the ""Fault Description""",,
201,cardreader:uic-firmware-encryption-unsupported,"CPE250, CPE280, CP6000, EXPP",Major,UIC card reader firmware does not support the required encryption standard. Payment card processing may fail or be disabled.,Update card reader firmware to a version that supports current encryption. Escalate if firmware is already latest.,,
202,ccb:fan-left-disabled,"CPE250, CPE280",Major,Left fan bank has been disabled. Cooling capacity is reduced. Station may derate.,Check fan for obstructions/damage. Power cycle. Replace fan if persists.,,
203,ccb:fan-right-disabled,"CPE250, CPE280",Major,Right fan bank has been disabled. Cooling capacity reduced.,Check fan for obstructions/damage. Power cycle. Replace fan if persists.,,
204,ccb:bucket-fan-tray-disabled,"CPE250, CPE280",Major,Bucket/lower fan tray has been disabled.,Check fan tray connection. Power cycle. Replace fan tray if persists.,,
205,ccb:fan-left-locked-rotor,"CPE250, CPE280",Critical,Left fan motor is locked — rotor is jammed and cannot spin. Fan drawing high current but not moving.,"Check for physical obstruction (debris, ice). Replace fan assembly if motor seized.",,
206,ccb:fan-right-locked-rotor,"CPE250, CPE280",Critical,Right fan motor is locked/jammed.,Check for physical obstruction. Replace fan assembly if motor seized.,,
207,ccb:coolant-pump-failed,"CPE250, CPE280",Critical,Coolant pump has failed completely. No coolant circulation — station will overheat and derate or shut down.,Check pump wiring. Power cycle. Replace coolant pump. Check for coolant leaks.,,
208,ccb:coolant-pump-air-lock,"CPE250, CPE280",Major,Air trapped in the coolant pump. Pump is running but not circulating coolant effectively.,Bleed air from coolant system. Check coolant level. Top up if low. Power cycle pump.,,
209,ccb:coolant-low-level,"CPE250, CPE280",Critical,Coolant level is below minimum. Risk of overheating and pump damage from dry running.,"Top up coolant. Check for leaks in hoses, fittings, and HEX. Replace pump if damaged by dry run.",,
210,ccb:fan-left-overcurrent,"CPE250, CPE280",Major,Left fan drawing more current than expected — motor may be failing or obstructed.,Check for obstructions. Replace fan if motor is degrading.,,
211,ccb:fan-right-overcurrent,"CPE250, CPE280",Major,Right fan drawing overcurrent.,Check for obstructions. Replace fan if motor is degrading.,,
212,ccb:bucket-fan-tray-overcurrent,"CPE250, CPE280",Major,Bucket fan tray drawing overcurrent.,Check for obstructions. Replace fan tray if persists.,,
213,ccb:fan-left-opencircuit,"CPE250, CPE280",Major,Left fan has open circuit — wiring disconnected or motor coil broken. Fan is not powered.,Check fan wiring and connectors. Replace fan if coil is broken.,,
214,ccb:fan-right-opencircuit,"CPE250, CPE280",Major,Right fan has open circuit.,Check fan wiring. Replace fan if needed.,,
215,ccb:bucket-fan-tray-opencircuit,"CPE250, CPE280",Major,Bucket fan tray has open circuit — not receiving power.,Check wiring. Replace fan tray if needed.,,
216,ccb:pump-overcurrent,"CPE250, CPE280",Major,"Coolant pump drawing overcurrent — motor may be failing, impeller jammed, or fluid blockage.",Check for blockage in coolant lines. Check pump impeller. Replace pump if persists.,,
217,ccb:pump-opencircuit,"CPE250, CPE280",Major,Coolant pump has open circuit — wiring disconnected or motor failed. Pump is not powered.,Check pump wiring. Replace pump if motor is dead.,,
218,ccb:can-comms-error,"CPE250, CPE280",Critical,CCB lost CAN bus communication with station controller. Cooling system status unknown.,Check CAN cabling to CCB. Power cycle. Replace CCB if persists.,,
219,ccb:fan-fault-left-bank-no-rpm-feedback,"CPE250, CPE280",Major,"Left fan bank running but no RPM feedback — tachometer signal not received. Fan may be spinning but can't be verified, or fan is stalled.",Check fan tachometer wiring. Replace fan if tach signal is lost.,,
220,ccb:fan-fault-right-bank-no-rpm-feedback,"CPE250, CPE280",Major,Right fan bank no RPM feedback.,Check fan tachometer wiring. Replace fan if needed.,,
221,ccb:bucket-fan-tray-no-rpm-feedback,"CPE250, CPE280",Major,Bucket fan tray no RPM feedback.,Check fan tray tachometer. Replace fan tray if persists.,,
222,ccb:pump-no-rpm-feedback,"CPE250, CPE280",Major,Coolant pump running but no RPM feedback. Can't verify pump is actually circulating.,Check pump tachometer wiring. Replace pump if RPM signal is lost.,,
223,ccb:all-fan-banks-disabled,"CPE250, CPE280",Critical,All fan banks disabled — no active cooling. Station will overheat rapidly and shut down.,Immediate attention required. Check all fans. Power cycle. Replace CCB or fans as needed.,,
224,ccb:board-overtemp-warning,"CPE250, CPE280",Minor,CCB board temperature above warning but below critical.,Monitor. Check ventilation and ambient temp.,,
225,ccb:board-overtemp-fault,"CPE250, CPE280",Major,CCB board temperature reached critical level — may shut down.,Check cooling system. Power cycle. Replace CCB if persists.,,
226,ccb:coolant-level-sensor-disconnected,"CPE250, CPE280",Major,Coolant level sensor is disconnected. Station can't monitor coolant level — safety risk.,Check sensor wiring. Reconnect sensor. Replace sensor if failed.,,
227,ccb:coolant-level-sensor-disconnected,"CPE250, CPE280",Major,"Same as above — sensor disconnected, coolant level unknown.",Check and reconnect sensor.,,
228,coolcntl:fan-tray-overcurrent,"CP6000, EXPP",Major,Fan tray (generic) drawing overcurrent.,Check for obstructions. Replace fan tray if motor degrading.,,
229,coolcntl:fan-tray1-overcurrent,"CP6000, EXPP",Major,Fan tray 1 drawing overcurrent.,Check for obstructions. Replace fan tray 1.,,
230,coolcntl:fan-tray2-overcurrent,"CP6000, EXPP",Major,Fan tray 2 drawing overcurrent.,Check for obstructions. Replace fan tray 2.,,
231,coolcntl:fan-tray3-overcurrent,"CP6000, EXPP",Major,Fan tray 3 drawing overcurrent.,Check for obstructions. Replace fan tray 3.,,
232,coolcntl:fan-tray-opencircuit,"CP6000, EXPP",Major,Fan tray (generic) has open circuit — not powered.,Check wiring. Replace fan tray.,,
233,coolcntl:fan-tray1-opencircuit,"CP6000, EXPP",Major,Fan tray 1 open circuit.,Check wiring. Replace fan tray 1.,,
234,coolcntl:fan-tray2-opencircuit,"CP6000, EXPP",Major,Fan tray 2 open circuit.,Check wiring. Replace fan tray 2.,,
235,coolcntl:fan-tray3-opencircuit,"CP6000, EXPP",Major,Fan tray 3 open circuit.,Check wiring. Replace fan tray 3.,,
236,coolcntl:fan-no-rpm-feedback,"CP6000, EXPP",Major,Fan (generic) running but no RPM feedback — can't verify fan is spinning.,Check tachometer wiring. Replace fan if signal lost.,,
237,coolcntl:fan-tray1-fan1-no-rpm-feedback,"CP6000, EXPP",Major,"Fan tray 1, fan 1 — no RPM feedback.",Check tachometer. Replace fan.,,
238,coolcntl:fan-tray1-fan2-no-rpm-feedback,"CP6000, EXPP",Major,"Fan tray 1, fan 2 — no RPM feedback.",Check tachometer. Replace fan.,,
239,coolcntl:fan-tray2-fan1-no-rpm-feedback,"CP6000, EXPP",Major,"Fan tray 2, fan 1 — no RPM feedback.",Check tachometer. Replace fan.,,
240,coolcntl:fan-tray2-fan2-no-rpm-feedback,"CP6000, EXPP",Major,"Fan tray 2, fan 2 — no RPM feedback.",Check tachometer. Replace fan.,,
241,coolcntl:fan-tray3-fan1-no-rpm-feedback,"CP6000, EXPP",Major,"Fan tray 3, fan 1 — no RPM feedback.",Check tachometer. Replace fan.,,
242,coolcntl:fan-tray3-fan2-no-rpm-feedback,"CP6000, EXPP",Major,"Fan tray 3, fan 2 — no RPM feedback.",Check tachometer. Replace fan.,,
243,coolcntl:pump-overcurrent,"CP6000, EXPP",Major,Coolant pump overcurrent — motor may be failing or impeller jammed.,Check for blockage. Replace pump if persists.,,
244,coolcntl:pump-opencircuit,"CP6000, EXPP",Major,Coolant pump open circuit — not powered.,Check pump wiring. Replace pump.,,
245,coolcntl:pump-internal-dry-run,"CP6000, EXPP",Critical,Pump detected dry run — running without sufficient coolant. Risk of pump damage and overheating.,Stop station immediately. Check coolant level. Top up. Check for leaks. Replace pump if damaged.,,
246,coolcntl:pump-internal-locked-rotor,"CP6000, EXPP",Critical,Pump rotor is locked — motor jammed. No coolant flow.,Check for debris in pump. Replace pump.,,
247,coolcntl:pump-internal-start-failure,"CP6000, EXPP",Critical,Pump failed to start — motor didn't spin up during startup sequence.,Check pump wiring. Power cycle. Replace pump if persists.,,
